audiobook_id,categories,rating_overall,rating_performance,rating_story
,Literature & Fiction,4.8,4.8,4.9
,Science Fiction & Fantasy,4.8,4.7,4.8
,"Relationships, Parenting & Personal Development",4.8,4.9,4.8
,"Mystery, Thriller & Suspense",4.5,4.6,4.4
,Business & Careers,4.8,4.8,4.8
,Biographies & Memoirs,4.9,5.0,4.9
,"Relationships, Parenting & Personal Development",4.7,4.6,4.7
,Business & Careers,4.6,4.7,4.6
,Literature & Fiction,4.5,4.6,4.5
,Health & Wellness,4.9,4.9,4.9
,Literature & Fiction,4.4,4.6,4.4
,Literature & Fiction,4.7,4.8,4.6
,Teen & Young Adult,4.6,4.7,4.6
,Literature & Fiction,4.8,4.9,4.8
,Literature & Fiction,4.9,4.9,4.9
,"Relationships, Parenting & Personal Development",4.8,4.8,4.7
,"Mystery, Thriller & Suspense",4.5,4.6,4.5
,"Mystery, Thriller & Suspense",4.4,4.3,4.4
,History,4.7,4.8,4.7
,"Mystery, Thriller & Suspense",4.1,4.6,4.0
,"Mystery, Thriller & Suspense",4.2,4.3,4.2
,Science Fiction & Fantasy,4.7,4.6,4.7
,Health & Wellness,4.7,4.7,4.7
,Children\'s Audiobooks,4.9,5.0,4.9
,"Relationships, Parenting & Personal Development",4.8,4.8,4.8
,"Mystery, Thriller & Suspense",4.6,4.7,4.6
,Literature & Fiction,4.3,4.6,4.2
,Science Fiction & Fantasy,4.8,4.7,4.8
,Politics & Social Sciences,4.9,4.8,4.9
,Science Fiction & Fantasy,4.8,4.9,4.7
,Literature & Fiction,5.0,5.0,4.9
,Biographies & Memoirs,4.4,4.5,4.5
,"Mystery, Thriller & Suspense",4.4,4.5,4.3
,Business & Careers,4.6,4.6,4.6
,Health & Wellness,4.8,4.8,4.8
,Business & Careers,4.5,4.7,4.4
,Romance,4.6,4.8,4.5
,Science Fiction & Fantasy,4.8,4.9,4.8
,Money & Finance,4.8,4.8,4.8
,Literature & Fiction,4.2,4.4,4.1
,"Relationships, Parenting & Personal Development",4.8,4.8,4.8
,Business & Careers,4.6,4.6,4.6
